,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,52.5483,13.4078,38,0,GMT,GMT
1,,,,,,
2,time,relative_humidity_2m (%),,,,
3,2024-12-27 00:00:00,96,,,,
4,2024-12-27 06:00:00,97,,,,
5,2024-12-27 12:00:00,92,,,,
6,2024-12-27 18:00:00,96,,,,
7,2024-12-28 00:00:00,98,,,,
8,2024-12-28 06:00:00,99,,,,
9,2024-12-28 12:00:00,92,,,,
10,2024-12-28 18:00:00,96,,,,
11,2024-12-29 00:00:00,96,,,,
12,2024-12-29 06:00:00,89,,,,
13,2024-12-29 12:00:00,88,,,,
14,2024-12-29 18:00:00,95,,,,
15,2024-12-30 00:00:00,93,,,,
16,2024-12-30 06:00:00,93,,,,
17,2024-12-30 12:00:00,87,,,,
18,2024-12-30 18:00:00,85,,,,
19,2024-12-31 00:00:00,91,,,,
20,2024-12-31 06:00:00,90,,,,
21,2024-12-31 12:00:00,79,,,,
22,2024-12-31 18:00:00,88,,,,
23,2025-01-01 00:00:00,83,,,,
24,2025-01-01 06:00:00,79,,,,
25,2025-01-01 12:00:00,69,,,,
26,2025-01-01 18:00:00,73,,,,
27,2025-01-02 00:00:00,80,,,,
28,2025-01-02 06:00:00,92,,,,
29,2025-01-02 12:00:00,70,,,,
30,2025-01-02 18:00:00,87,,,,
31,2025-01-03 00:00:00,91,,,,
32,2025-01-03 06:00:00,89,,,,
33,2025-01-03 12:00:00,74,,,,
34,2025-01-03 18:00:00,76,,,,
35,2025-01-04 00:00:00,76,,,,
36,2025-01-04 06:00:00,91,,,,
37,2025-01-04 12:00:00,84,,,,
38,2025-01-04 18:00:00,90,,,,
39,2025-01-05 00:00:00,92,,,,
40,2025-01-05 06:00:00,90,,,,
41,2025-01-05 12:00:00,74,,,,
42,2025-01-05 18:00:00,92,,,,
43,2025-01-06 00:00:00,96,,,,
44,2025-01-06 06:00:00,95,,,,
45,2025-01-06 12:00:00,78,,,,
46,2025-01-06 18:00:00,59,,,,
47,2025-01-07 00:00:00,70,,,,
48,2025-01-07 06:00:00,68,,,,
49,2025-01-07 12:00:00,65,,,,
50,2025-01-07 18:00:00,87,,,,
51,2025-01-08 00:00:00,83,,,,
52,2025-01-08 06:00:00,86,,,,
53,2025-01-08 12:00:00,70,,,,
54,2025-01-08 18:00:00,81,,,,
55,2025-01-09 00:00:00,86,,,,
56,2025-01-09 06:00:00,96,,,,
57,2025-01-09 12:00:00,98,,,,
58,2025-01-09 18:00:00,96,,,,
59,2025-01-10 00:00:00,95,,,,
60,2025-01-10 06:00:00,94,,,,
61,2025-01-10 12:00:00,93,,,,
62,2025-01-10 18:00:00,93,,,,
63,,,,,,
64,time,temperature_2m_mean (°C),apparent_temperature_mean (°C),rain_sum (mm),wind_speed_10m_max (km/h),
65,2024-12-27 00:00:00,3.3,1.2,0,4.6,
66,2024-12-28 00:00:00,-1.4,-4.2,0,5.5,
67,2024-12-29 00:00:00,-0.6,-4.5,0,15.1,
68,2024-12-30 00:00:00,2.5,-1.9,0,18.6,
69,2024-12-31 00:00:00,1.7,-2.6,0,19.1,
70,2025-01-01 00:00:00,5.1,-0.3,0.5,26.4,
71,2025-01-02 00:00:00,3.9,-0.5,3.7,26.1,
72,2025-01-03 00:00:00,0.7,-4.6,0.4,30.3,
73,2025-01-04 00:00:00,-1.1,-5.3,0,19,
74,2025-01-05 00:00:00,-0.8,-5.1,4.7,18.7,
75,2025-01-06 00:00:00,7.7,3.5,11.7,25.8,
76,2025-01-07 00:00:00,4.9,0.5,1.4,20.9,
77,2025-01-08 00:00:00,1.6,-2.8,0.1,21.7,
78,2025-01-09 00:00:00,0.7,-3.1,1.2,22.8,
79,2025-01-10 00:00:00,0.6,-4.1,1,20.2,
